CountryCode,WHOSIS_000001,NCD_BMI_30A,MH_12,UHC_AVAILABILITY_SCORE,VIOLENCE_HOMICIDERATE,WHS3_49,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,had_polio,EG_ELC_ACCS_ZS,EN_ATM_PM25_MC_ZS,NY_GDP_PCAP_KD,SH_DYN_MORT,SH_H2O_BASW_ZS,SP_RUR_TOTL_ZS,poor,rich
AFG,61.65429,5.2,5.99,88.88889,9.09402,20.0,39.4,1,71.5,100.0,592.476537451681,70.4,61.33978081,75.197,1.0,0.0
ALB,77.84428,21.1,4.23,79.86111,3.9577,0.0,22.9,0,99.9800033569336,100.0,3952.80253807527,9.6,93.39432534,42.566,1.0,0.0
DZA,76.54363,26.7,2.72,85.41667,1.6675,0.0,32.8,0,99.1866607666016,100.0,4197.42136055142,25.2,93.40956153,29.152,1.0,0.0
AND,,25.4,,31.25,,0.0,11.0,0,100.0,90.8480627384849,38885.3760140905,3.3,99.99999755,11.655,0.0,1.0
AGO,61.71907,7.9,13.2696,69.44444,10.05277,0.0,45.0,0,42.0,100.0,3100.83068530533,88.1,54.31692835,36.554,1.0,0.0
ATG,76.13984,18.4,0.419,43.05556,2.41144,,16.6,0,100.0,100.0,14861.8827074704,7.8,96.73918628,75.0,0.0,0.0
ARG,76.16682,27.8,8.1,72.91667,6.36663,0.0,12.1,0,99.6253890991211,98.0219286945161,13789.060424772,11.5,98.96658815,8.497,0.0,0.0
ARM,74.51096,19.7,4.7,91.66667,3.881,0.0,17.1,0,100.0,100.0,3666.1418758065,14.1,99.5525667,36.915,1.0,0.0
AUS,82.2783,28.4,11.8127,77.08333,1.1352,0.0,7.6,0,100.0,26.0466667521997,56710.4457244504,3.9,99.97000567,14.299,0.0,1.0
AUT,80.98208,19.7,11.3898,56.25,0.63884,0.0,12.0,0,100.0,91.4744653522326,44195.8175947748,3.7,100.0,42.285,0.0,1.0
AZE,70.6707,19.3,3.99,64.58333,2.62516,0.0,34.6,0,100.0,100.0,5500.31038244408,26.3,92.42031398,45.286,0.0,0.0
BHS,72.91566,31.0,3.42,53.47222,34.0031,,13.4,0,100.0,99.9999999987145,30206.2404347372,14.0,98.8869605,17.254,0.0,1.0
BHR,76.46371,29.3,6.32,47.91667,0.51892,0.0,35.7,0,100.0,100.0,22795.4488576612,7.6,100.0,11.001,0.0,0.0
BGD,73.58051,3.4,3.64,83.33333,2.98811,0.0,35.9,0,74.9037399291992,100.0,1236.00506049059,38.1,97.10160247,65.692,1.0,0.0
BRB,76.21642,22.5,0.313,40.27778,11.2182,,16.7,0,100.0,100.0,16990.2194668498,14.0,98.47444474,68.751,0.0,0.0
BLR,73.81525,24.1,19.5525,85.41667,3.70974,0.0,19.5,0,100.0,100.0,5967.05220384914,4.1,96.47706709,22.819,0.0,0.0
BEL,80.71184,21.7,14.4114,70.83333,1.45891,0.0,12.0,0,100.0,95.1043453766346,41008.296719472,4.1,99.9999977,2.124,0.0,1.0
BLZ,74.04993,23.6,6.87,80.55556,34.39445,,20.6,0,91.8000030517578,100.0,6142.47883269283,15.3,97.17559498,54.594,0.0,0.0
BEN,61.96257,9.3,13.3759,91.66667,6.43398,0.0,55.0,0,29.6200008392334,100.0,1041.65252315983,97.6,64.7868223,54.305,1.0,0.0
BTN,72.15268,6.1,5.16,68.05556,2.04066,0.0,38.8,0,95.5307159423828,100.0,2695.63877250025,33.1,96.22142259,61.322,1.0,0.0
BOL,71.5186,19.7,7.2,83.33333,9.03009,0.0,26.7,0,91.522819519043,99.9997322955159,2975.64881137847,31.3,90.46214101,31.607,1.0,0.0
BIH,76.31874,17.5,8.33,36.80556,1.7395,0.0,23.8,0,99.6999969482422,100.0,4599.90102879933,6.3,96.15984418,52.827,1.0,0.0
BWA,60.92577,18.6,24.5486,61.80556,16.94931,0.0,31.6,0,62.1300010681152,100.0,5869.73294292043,49.7,88.44628953,32.845,0.0,0.0
BRA,75.13264,21.6,5.6,79.16667,31.72047,0.0,16.8,0,99.7108993530273,74.9277515309761,8783.22598387817,15.9,97.80356759,14.23,0.0,0.0
BRN,74.40452,13.6,1.63,62.5,1.09219,0.0,15.1,0,100.0,0.0,30681.6794391894,10.6,99.50997616,23.337,0.0,1.0
BGR,74.55482,24.5,6.77,56.25,1.56238,0.0,22.8,0,100.0,99.9662317940315,7074.68102325059,8.2,99.19632731,26.01,0.0,0.0
BFA,60.91832,5.3,15.4435,60.41667,9.8536,0.0,53.1,0,16.0769748687744,100.0,632.12668368394,100.9,50.13713109,72.47,1.0,0.0
BDI,62.04675,5.1,12.7543,72.22222,6.04838,0.0,33.7,0,8.42765235900879,100.0,289.359633280865,67.6,59.58146925,87.922,1.0,0.0
CPV,74.88204,11.4,16.7314,77.08333,11.69498,0.0,25.8,0,86.3578414916992,100.0,2891.88448249992,19.5,85.44334237,35.7,1.0,0.0
KHM,69.17362,3.7,5.75,53.47222,2.43973,0.0,46.5,0,64.9104232788086,100.0,1170.74281578324,31.8,68.44384896,77.812,1.0,0.0
CMR,59.11311,11.0,17.0898,77.77778,7.03836,0.0,40.9,0,58.5955924987793,100.0,1399.67533119236,88.0,63.97399012,45.422,1.0,0.0
CAN,81.75909,28.8,11.1557,72.91667,1.68633,0.0,9.3,0,100.0,0.725554041704435,43596.1355365546,5.4,99.22922139,18.741,0.0,1.0
CAF,50.53056,7.2,26.3075,69.44444,21.90413,0.0,47.7,0,12.727029800415,100.0,351.879753579186,123.3,42.31134542,59.723,1.0,0.0
TCD,57.9122,5.8,13.9687,83.33333,9.55485,0.0,47.6,0,7.69999980926514,100.0,774.411600504375,128.7,44.39909697,77.485,1.0,0.0
CHL,79.81646,27.5,9.17,79.16667,4.53194,0.0,8.0,0,99.71484375,98.5762989258251,13569.9478008231,7.9,99.50649272,12.64,0.0,0.0
CHN,76.64185,5.9,7.08,68.05556,0.94509,0.0,14.9,0,100.0,99.9999551645374,8016.43143498352,10.7,91.76264123,44.5,0.0,0.0
COL,78.35336,21.9,4.04,85.41667,44.40276,0.0,21.1,0,98.186897277832,96.3381509958462,6228.4262990412,15.5,96.33586812,20.236,0.0,0.0
COM,66.45436,7.5,8.8,29.86111,8.01234,0.0,33.0,0,74.5719833374023,100.0,1322.93669549676,72.3,80.13200008,71.53,1.0,0.0
COG,63.11351,9.2,12.4629,69.44444,10.4984,0.0,51.1,0,44.4016494750977,100.0,2347.81849884859,52.6,71.14958177,34.457,1.0,0.0
COK,,55.4,,50.69444,,,26.2,0,,,,,,,,
CRI,80.7813,25.0,6.41,83.33333,11.42648,0.0,12.6,0,99.4098052978516,99.9799860248742,11529.9545258398,9.1,99.37868682,23.138,0.0,0.0
CIV,60.19939,9.8,17.7148,61.11111,12.16974,0.0,51.7,0,62.5999984741211,100.0,1941.56633627815,90.8,71.0757669,50.556,1.0,0.0
HRV,77.5798,23.9,12.1535,79.16667,0.87966,0.0,20.5,0,100.0,100.0,11952.3111753908,4.9,,43.845,0.0,0.0
CUB,77.91375,24.1,10.3608,80.55556,5.69,0.0,19.5,0,98.6834564208984,99.9999999999811,7683.75789050585,5.7,95.87179647,23.104,0.0,0.0
CYP,82.01412,21.4,4.17,56.25,1.3922,0.0,12.4,0,100.0,100.0,23487.125,2.9,99.78851757,33.054,0.0,0.0
CZE,78.45764,25.6,10.492,56.25,0.77246,0.0,20.5,0,100.0,99.8282838822608,17829.6983223668,3.2,99.88009269,26.523,0.0,0.0
DNK,80.59389,19.3,8.07,72.91667,1.08057,0.0,11.6,0,100.0,75.1874411831808,53254.8563700916,4.1,99.99999785,12.474,0.0,1.0
DJI,64.64274,13.2,11.889,41.66667,6.99889,0.0,31.3,0,57.5785636901855,100.0,2409.31190224284,65.8,75.78704503,22.583,1.0,0.0
DMA,,27.3,,40.27778,,,19.9,0,99.8290176391602,100.0,7724.04241057376,31.1,95.42065606,30.421,0.0,0.0
DOM,71.75336,26.9,6.84,53.47222,19.92517,0.0,27.3,0,98.5603637695313,99.9785982241453,6838.93659408348,35.0,96.0993385,21.434,0.0,0.0
