economy,EG_ELC_ACCS_ZS,EN_ATM_PM25_MC_ZS,NY_GDP_PCAP_KD,SH_DYN_MORT,SH_H2O_BASW_ZS,SP_RUR_TOTL_ZS,poor,rich
ABW,100.0,,28421.3864931862,,97.86902338,56.892,0,0
AFE,33.7444046301052,100.0,1540.85035410697,69.1381574560455,54.9083250740821,65.5744193109627,1,0
AFG,71.5,100.0,592.476537451681,70.4,61.33978081,75.197,1,0
AFW,46.7509457807016,100.0,1876.62348318848,107.291692708028,66.4898260942655,55.1941367422783,1,0
AGO,42.0,100.0,3100.83068530533,88.1,54.31692835,36.554,1,0
ALB,99.9800033569336,100.0,3952.80253807527,9.6,93.39432534,42.566,1,0
AND,100.0,90.8480627384849,38885.3760140905,3.3,99.99999755,11.655,0,1
ARB,88.8911296243003,100.0,6245.78778494805,38.6273066323652,87.2804364972827,42.1538468677223,0,0
ARE,100.0,100.0,41525.1389031283,7.6,99.97133247,14.326,0,1
ARG,99.6253890991211,98.0219286945161,13789.060424772,11.5,98.96658815,8.497,0,0
ARM,100.0,100.0,3666.1418758065,14.1,99.5525667,36.915,1,0
ASM,,100.0,13101.5418159165,,99.61910315,12.762,0,0
ATG,100.0,100.0,14861.8827074704,7.8,96.73918628,75.0,0,0
AUS,100.0,26.0466667521997,56710.4457244504,3.9,99.97000567,14.299,0,1
AUT,100.0,91.4744653522326,44195.8175947748,3.7,100.0,42.285,0,1
AZE,100.0,100.0,5500.31038244408,26.3,92.42031398,45.286,0,0
BDI,8.42765235900879,100.0,289.359633280865,67.6,59.58146925,87.922,1,0
BEL,100.0,95.1043453766346,41008.296719472,4.1,99.9999977,2.124,0,1
BEN,29.6200008392334,100.0,1041.65252315983,97.6,64.7868223,54.305,1,0
BFA,16.0769748687744,100.0,632.12668368394,100.9,50.13713109,72.47,1,0
BGD,74.9037399291992,100.0,1236.00506049059,38.1,97.10160247,65.692,1,0
BGR,100.0,99.9662317940315,7074.68102325059,8.2,99.19632731,26.01,0,0
BHR,100.0,100.0,22795.4488576612,7.6,100.0,11.001,0,0
BHS,100.0,99.9999999987145,30206.2404347372,14.0,98.8869605,17.254,0,1
BIH,99.6999969482422,100.0,4599.90102879933,6.3,96.15984418,52.827,1,0
BLR,100.0,100.0,5967.05220384914,4.1,96.47706709,22.819,0,0
BLZ,91.8000030517578,100.0,6142.47883269283,15.3,97.17559498,54.594,0,0
BMU,100.0,100.0,102005.62564189,,99.90314002,0.0,0,1
BOL,91.522819519043,99.9997322955159,2975.64881137847,31.3,90.46214101,31.607,1,0
BRA,99.7108993530273,74.9277515309761,8783.22598387817,15.9,97.80356759,14.23,0,0
BRB,100.0,100.0,16990.2194668498,14.0,98.47444474,68.751,0,0
BRN,100.0,0.0,30681.6794391894,10.6,99.50997616,23.337,0,1
