CountryCode,WHOSIS_000001,NCD_BMI_30A,MH_12,UHC_AVAILABILITY_SCORE,VIOLENCE_HOMICIDERATE,WHS3_49,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,had_polio
AFG,61.65429,5.2,5.99,88.88889,9.09402,20.0,39.4,1
ALB,77.84428,21.1,4.23,79.86111,3.9577,0.0,22.9,0
DZA,76.54363,26.7,2.72,85.41667,1.6675,0.0,32.8,0
AND,,25.4,,31.25,,0.0,11.0,0
AGO,61.71907,7.9,13.2696,69.44444,10.05277,0.0,45.0,0
ATG,76.13984,18.4,0.419,43.05556,2.41144,,16.6,0
ARG,76.16682,27.8,8.1,72.91667,6.36663,0.0,12.1,0
ARM,74.51096,19.7,4.7,91.66667,3.881,0.0,17.1,0
AUS,82.2783,28.4,11.8127,77.08333,1.1352,0.0,7.6,0
AUT,80.98208,19.7,11.3898,56.25,0.63884,0.0,12.0,0
AZE,70.6707,19.3,3.99,64.58333,2.62516,0.0,34.6,0
BHS,72.91566,31.0,3.42,53.47222,34.0031,,13.4,0
BHR,76.46371,29.3,6.32,47.91667,0.51892,0.0,35.7,0
BGD,73.58051,3.4,3.64,83.33333,2.98811,0.0,35.9,0
BRB,76.21642,22.5,0.313,40.27778,11.2182,,16.7,0
BLR,73.81525,24.1,19.5525,85.41667,3.70974,0.0,19.5,0
BEL,80.71184,21.7,14.4114,70.83333,1.45891,0.0,12.0,0
BLZ,74.04993,23.6,6.87,80.55556,34.39445,,20.6,0
BEN,61.96257,9.3,13.3759,91.66667,6.43398,0.0,55.0,0
BTN,72.15268,6.1,5.16,68.05556,2.04066,0.0,38.8,0
BOL,71.5186,19.7,7.2,83.33333,9.03009,0.0,26.7,0
BIH,76.31874,17.5,8.33,36.80556,1.7395,0.0,23.8,0
BWA,60.92577,18.6,24.5486,61.80556,16.94931,0.0,31.6,0
BRA,75.13264,21.6,5.6,79.16667,31.72047,0.0,16.8,0
BRN,74.40452,13.6,1.63,62.5,1.09219,0.0,15.1,0
BGR,74.55482,24.5,6.77,56.25,1.56238,0.0,22.8,0
BFA,60.91832,5.3,15.4435,60.41667,9.8536,0.0,53.1,0
BDI,62.04675,5.1,12.7543,72.22222,6.04838,0.0,33.7,0
CPV,74.88204,11.4,16.7314,77.08333,11.69498,0.0,25.8,0
KHM,69.17362,3.7,5.75,53.47222,2.43973,0.0,46.5,0
CMR,59.11311,11.0,17.0898,77.77778,7.03836,0.0,40.9,0
CAN,81.75909,28.8,11.1557,72.91667,1.68633,0.0,9.3,0
CAF,50.53056,7.2,26.3075,69.44444,21.90413,0.0,47.7,0
TCD,57.9122,5.8,13.9687,83.33333,9.55485,0.0,47.6,0
CHL,79.81646,27.5,9.17,79.16667,4.53194,0.0,8.0,0
CHN,76.64185,5.9,7.08,68.05556,0.94509,0.0,14.9,0
COL,78.35336,21.9,4.04,85.41667,44.40276,0.0,21.1,0
COM,66.45436,7.5,8.8,29.86111,8.01234,0.0,33.0,0
COG,63.11351,9.2,12.4629,69.44444,10.4984,0.0,51.1,0
COK,,55.4,,50.69444,,,26.2,0
CRI,80.7813,25.0,6.41,83.33333,11.42648,0.0,12.6,0
CIV,60.19939,9.8,17.7148,61.11111,12.16974,0.0,51.7,0
HRV,77.5798,23.9,12.1535,79.16667,0.87966,0.0,20.5,0
CUB,77.91375,24.1,10.3608,80.55556,5.69,0.0,19.5,0
CYP,82.01412,21.4,4.17,56.25,1.3922,0.0,12.4,0
CZE,78.45764,25.6,10.492,56.25,0.77246,0.0,20.5,0
DNK,80.59389,19.3,8.07,72.91667,1.08057,0.0,11.6,0
DJI,64.64274,13.2,11.889,41.66667,6.99889,0.0,31.3,0
DMA,,27.3,,40.27778,,,19.9,0
DOM,71.75336,26.9,6.84,53.47222,19.92517,0.0,27.3,0
COD,60.44355,6.4,12.2673,66.66667,13.38556,0.0,44.1,0
ECU,77.18231,19.4,8.88,67.36111,8.80616,0.0,17.0,0
EGY,70.4922,31.3,3.72,72.91667,3.98465,0.0,29.7,0
SLV,73.24693,24.0,6.78,73.61111,87.53632,0.0,9.9,0
GNQ,61.12561,7.7,15.3251,29.86111,3.44811,0.0,45.8,0
ERI,62.29015,4.8,18.6896,43.75,11.44234,0.0,36.3,0
EST,77.60223,20.9,13.3612,70.83333,3.47005,0.0,21.2,0
ETH,66.82242,4.3,9.98,86.11111,7.85502,0.0,22.5,0
FJI,67.82661,29.5,10.0142,53.47222,2.31026,,31.5,0
FIN,81.21355,21.8,12.1491,70.83333,1.41622,0.0,10.0,0
FRA,81.9132,21.2,11.4792,70.83333,0.9316,0.0,9.4,0
GAB,64.93317,14.6,15.1732,41.66667,8.94675,0.0,54.0,0
