;CountryCode;WHOSIS_000001;MH_12;NCD_BMI_MEANC;UHC_AVAILABILITY_SCORE;VIOLENCE_HOMICIDERATE;WHS3_49;NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV;M_Est_tob_curr_std
0;AFG;61.65429;5.99;22.9;88.88889;9.09402;20.0;39.4;26.0
1;AGO;61.71907;13.2696;22.9;69.44444;10.05277;0.0;45.0;
2;ALB;77.84428;4.23;26.7;79.86111;3.9577;0.0;22.9;25.1
3;ARE;75.31077;5.25;28.4;70.83333;0.82217;0.0;23.7;
4;ARG;76.16682;8.1;27.6;72.91667;6.36663;0.0;12.1;26.6
5;ARM;74.51096;4.7;26.5;91.66667;3.881;0.0;17.1;26.9
6;ATG;76.13984;0.419;26.6;43.05556;2.41144;;16.6;
7;AUS;82.2783;11.8127;27.4;77.08333;1.1352;0.0;7.6;15.7
8;AUT;80.98208;11.3898;26.0;56.25;0.63884;0.0;12.0;31.2
9;AZE;70.6707;3.99;26.9;64.58333;2.62516;0.0;34.6;25.2
10;BDI;62.04675;12.7543;21.6;72.22222;6.04838;0.0;33.7;13.9
11;BEL;80.71184;14.4114;26.6;70.83333;1.45891;0.0;12.0;25.7
12;BEN;61.96257;13.3759;23.3;91.66667;6.43398;0.0;55.0;8.6
13;BFA;60.91832;15.4435;22.1;60.41667;9.8536;0.0;53.1;17.0
14;BGD;73.58051;3.64;21.6;83.33333;2.98811;0.0;35.9;38.9
15;BGR;74.55482;6.77;27.0;56.25;1.56238;0.0;22.8;40.7
16;BHR;76.46371;6.32;25.0;47.91667;0.51892;0.0;35.7;16.4
17;BHS;72.91566;3.42;28.0;53.47222;34.0031;;13.4;10.6
18;BIH;76.31874;8.33;26.1;36.80556;1.7395;0.0;23.8;37.7
19;BLR;73.81525;19.5525;27.2;85.41667;3.70974;0.0;19.5;33.0
20;BLZ;74.04993;6.87;28.8;80.55556;34.39445;;20.6;9.7
21;BOL;71.5186;7.2;26.2;83.33333;9.03009;0.0;26.7;15.6
22;BRA;75.13264;5.6;26.5;79.16667;31.72047;0.0;16.8;14.9
23;BRB;76.21642;0.313;27.9;40.27778;11.2182;;16.7;8.8
24;BRN;74.40452;1.63;27.2;62.5;1.09219;0.0;15.1;16.3
25;BTN;72.15268;5.16;23.8;68.05556;2.04066;0.0;38.8;
26;BWA;60.92577;24.5486;23.8;61.80556;16.94931;0.0;31.6;21.7
27;CAF;50.53056;26.3075;22.5;69.44444;21.90413;0.0;47.7;
28;CAN;81.75909;11.1557;27.3;72.91667;1.68633;0.0;9.3;15.8
29;CHE;82.61449;10.5012;25.7;70.83333;0.60304;0.0;10.1;26.2
30;CHL;79.81646;9.17;28.0;79.16667;4.53194;0.0;8.0;32.9
31;CHN;76.64185;7.08;23.9;68.05556;0.94509;0.0;14.9;25.9
32;CIV;60.19939;17.7148;23.6;61.11111;12.16974;0.0;51.7;11.1
33;CMR;59.11311;17.0898;24.0;77.77778;7.03836;0.0;40.9;8.4
34;COD;60.44355;12.2673;21.7;66.66667;13.38556;0.0;44.1;14.0
35;COG;63.11351;12.4629;22.9;69.44444;10.4984;0.0;51.1;13.5
36;COL;78.35336;4.04;26.1;85.41667;44.40276;0.0;21.1;9.9
37;COM;66.45436;8.8;24.3;29.86111;8.01234;0.0;33.0;23.5
38;CPV;74.88204;16.7314;24.3;77.08333;11.69498;0.0;25.8;13.1
39;CRI;80.7813;6.41;27.2;83.33333;11.42648;0.0;12.6;10.5
40;CUB;77.91375;10.3608;25.8;80.55556;5.69;0.0;19.5;22.0
41;CYP;82.01412;4.17;27.1;56.25;1.3922;0.0;12.4;36.4
42;CZE;78.45764;10.492;27.9;56.25;0.77246;0.0;20.5;31.4
43;DEU;80.42174;9.0;27.3;64.58333;0.91784;0.0;10.2;24.9
44;DJI;64.64274;11.889;23.8;41.66667;6.99889;0.0;31.3;
45;DNK;80.59389;8.07;25.7;72.91667;1.08057;0.0;11.6;21.1
46;DOM;71.75336;6.84;26.3;53.47222;19.92517;0.0;27.3;12.2
47;DZA;76.54363;2.72;25.5;85.41667;1.6675;0.0;32.8;21.1
48;ECU;77.18231;8.88;27.0;67.36111;8.80616;0.0;17.0;12.8
49;EGY;70.4922;3.72;29.3;72.91667;3.98465;0.0;29.7;24.3
50;ERI;62.29015;18.6896;20.5;43.75;11.44234;0.0;36.3;8.7
51;ESP;82.33084;5.64;26.6;79.16667;0.63806;0.0;12.4;29.7
52;EST;77.60223;13.3612;26.9;70.83333;3.47005;0.0;21.2;33.3
53;ETH;66.82242;9.98;20.4;86.11111;7.85502;0.0;22.5;5.5
54;FIN;81.21355;12.1491;26.6;70.83333;1.41622;0.0;10.0;24.5
